component,rank,term,loading
0,1,thou,0.2236730307340622
0,2,unto,0.20356523990631104
0,3,thy,0.16708357632160187
0,4,doth,0.16131407022476196
0,5,thee,0.16077806055545807
0,6,thyself,0.14011482894420624
0,7,whatsoever,0.13809122145175934
0,8,hath,0.11627428978681564
0,9,unto thee,0.09848950803279877
0,10,shalt,0.09774221479892731
0,11,nature,0.09712263941764832
0,12,things,0.09664434939622879
0,13,thou art,0.09051471203565598
0,14,hast,0.08442114293575287
0,15,thou shalt,0.08371460437774658
1,1,garden,0.11640627682209015
1,2,minora,0.11593277752399445
1,3,irais,0.11142478883266449
1,4,_the,-0.08812389522790909
1,5,don,0.08772139251232147
1,6,belief,-0.07864875346422195
1,7,man wrath,0.07705681025981903
1,8,self,-0.0752081423997879
1,9,round,0.07460901886224747
1,10,house,0.07445388287305832
1,11,wrath,0.07210154831409454
1,12,went,0.0703655406832695
1,13,morality,-0.06991332769393921
1,14,babies,0.06613747775554657
1,15,said,0.06611902266740799
2,1,marcus,0.12409307062625885
2,2,fronto,0.10902757942676544
2,3,ad,0.08951988816261292
2,4,minora,-0.08665376901626587
2,5,irais,-0.0827065259218216
2,6,caes,0.07395139336585999
2,7,aurelius,0.06968214362859726
2,8,ad caes,0.06822945922613144
2,9,garden,-0.06797635555267334
2,10,ii,0.06736330687999725
2,11,father,0.06604261696338654
2,12,emperor,0.06527572125196457
2,13,roman,0.06428664922714233
2,14,master,0.0638057067990303
2,15,man wrath,-0.05896032974123955
